geonameid;name;latitude;longitude;countrycode;population;timezone;admin1code;alternatenames;continentcode
2953402;Bad Mergentheim;49.4925;9.77361;DE;22472;Europe/Berlin;01;['Bad Mergentheim', 'Bad Mergentheimas', 'Bad Mergentkhajm', 'Bad-Mergentgajm', 'Bad-Mergentkhajm', 'ba te mei er gen te hai mu', 'bad mrghnthaym', 'Бад Мергентхайм', 'Бад Мергентхајм', 'Бад-Мергентгайм', 'Бад-Мергентхайм', 'باد مرغنتهايم', 'باد مرگنت\u200cهایم', 'バート・メルゲントハイム', '巴特梅尔根特海姆'];EU
2953405;Bad Lippspringe;51.78333;8.81683;DE;15175;Europe/Berlin;07;['Bad Lippspringe', 'Bad Lipspringe', 'Bad-Lippshpringe', 'Bad-Lipshpringe', 'Lippspringe', 'ba te li pu shi pu ling ge', 'bad lybshbrynghh', 'Бад Липспринге', 'Бад-Липшпринге', 'Бад-Ліппшпрінге', 'باد ليبشبرينغه', 'باد لیپ\u200cاسپرینگه', '巴特利普施普灵格'];EU
2953413;Bad Langensalza;51.10771;10.646;DE;18183;Europe/Berlin;15;"['Bad Langensalza', 'Bad Langenzalca', ""Bad-Langenzal'ca"", 'Langensalza', 'ba te lang gen sa er cha', 'bad langhnzaltsa', 'Бад Лангензалца', 'Бад-Лангензальца', 'باد لانغنزالتسا', 'باد لانگن\u200cزاسا', '巴特朗根萨尔察']";EU
2953416;Bad Kreuznach;49.8414;7.86713;DE;43213;Europe/Berlin;08;['Bad Kreuznach', 'Bad Krojcnakh', 'Bad-Krojcnakh', 'Cruciniacum', 'Kreuznach', 'ba te ke luo yi ci na he', 'bad krwytsnakh', 'Бад Кройцнах', 'Бад Кројцнах', 'Бад-Кройцнах', 'باد كرويتسناخ', 'باد کرویتسناخ', 'バート・クロイツナハ', '巴特克罗伊茨纳赫'];EU
2953424;Bad Kissingen;50.20228;10.07784;DE;21328;Europe/Berlin;02;['Bad Kisingen', 'Bad Kissingen', 'Bad-Kisingen', 'Bad-Kissingen', 'ba te ji xin gen', 'bad kysynghn', 'bad kysyngn', 'Бад Кисинген', 'Бад-Киссинген', 'Бад-Кіссінген', 'Бад-Кісінген', 'Բադ Կիսինգեն', 'باد كيسينغن', 'باد کیسینگن', 'بیڈ کسنجن', '巴特基辛根'];EU
2953435;Bad Honnef;50.64336;7.2278;DE;25348;Europe/Berlin;07;['Bad Honnef', 'Bad Honnef am Rhein', 'Bad Khonef', 'Bad-Gonnef', 'Bad-Khonnef', 'Honnef', 'Hunapha', 'ba te hong nei fu', 'bad hwnf', 'bad hwnyf', 'Бад Хонеф', 'Бад-Гоннеф', 'Бад-Хоннеф', 'باد هونف', 'باد هونيف', '巴特洪内夫'];EU
2953436;Bad Homburg vor der Höhe;50.22683;8.61816;DE;51859;Europe/Berlin;05;['Bad Homburg', 'Bad Homburg v.d. Hoehe', 'Bad Homburg v.d. Höhe', 'Bad Homburg vor der Hoehe', 'Bad Homburg vor der Höhe', 'Bad Khomburg', 'Bad-Gomburg', 'Bad-Khomburg', 'Bant Chompournk', 'Homburg vor der Hohe', 'Homburg vor der Höhe', 'ba te hong bao', 'bad h xm bur kf xrde xr hex xex', 'bad hwmbwrg fwr dr hwhh', 'bateuhombuleukeupo-eodeeohoee', 'Μπαντ Χόμπουργκ', 'Бад Хомбург', 'Бад-Гомбург', 'Бад-Хомбург', 'באד הומבורג', 'باد هومبورگ فور در هوهه', 'บัดฮอมบูร์กฟอร์เดอร์เฮอเออ', '巴特洪堡', '바트홈부르크포어데어회에'];EU
2953439;Bad Hersfeld;50.87197;9.70891;DE;30725;Europe/Berlin;05;"['Bad Hersfeld', 'Bad Khersfeld', ""Bad-Gersfel'd"", ""Bad-Khersfel'd"", 'Hersfeld', 'ba te hei si fei er de', 'bad hrsfld', 'Бад Херсфелд', 'Бад-Герсфельд', 'Бад-Херсфельд', 'باد هرسفلد', '巴特黑斯费尔德']";EU
2953449;Bad Harzburg;51.88268;10.56157;DE;22954;Europe/Berlin;06;['Bad Harzborch', 'Bad Harzburg', 'Bad Kharcburg', 'Bad-Garcburg', 'Bad-Kharcburge', 'Hartsburgum', 'Stadt Bad Harzburg', 'ba te ha er ci bao', 'bad haghzbwrgh', 'bad hartsbwrg', 'Бад Харцбург', 'Бад-Гарцбург', 'Бад-Харцбурге', 'باد هارتسبورگ', 'باد هاغزبورغ', '巴特哈尔茨堡'];EU
2953464;Bad Essen;52.31667;8.33333;DE;15732;Europe/Berlin;06;['Bad Esen', 'Bad Essen', 'Bad-Ehssen', 'ba te ai sen', 'Бад Есен', 'Бад-Эссен', '巴特埃森'];EU
2953504;Baden-Baden;48.7606;8.23975;DE;55449;Europe/Berlin;01;['Aquae Aureliae', 'Badehn-Badehn', 'Baden', 'Baden-Baden', 'Badenas-Badenas', 'Badenbadene', 'Banten-Banten', 'Bādenbādene', 'FKB', 'b+b', 'ba deng-ba deng', 'baden=baden', 'badenbaden', 'badn badn', 'badn-badn', 'Μπάντεν-Μπάντεν', 'Баден-Баден', 'Бадэн-Бадэн', 'Բադեն-Բադեն', 'באדן-באדן', 'بادن بادن', 'بادن-بادن', 'バーデン＝バーデン', '巴登-巴登', '바덴바덴'];EU
2953522;Bad Dürkheim;49.4618;8.17236;DE;18698;Europe/Berlin;08;['Bad Dirkkhajm', 'Bad Djurkkhajm', 'Bad Duerkheim', 'Bad Durkheim', 'Bad Dürkheim', 'Bad-Djurkkhajm', 'Derkem', 'Durkheim', 'Dürkheim', 'ba te di ke hai mu', 'bad dwrkhaym', 'Бад Диркхајм', 'Бад Дюркхайм', 'Бад-Дюркхайм', 'Бад-Дүркхайм', 'باد دوركهايم', 'باد دورک\u200cهایم', 'バート・デュルクハイム', '巴特迪克海姆'];EU
2953525;Bad Driburg;51.73297;9.01969;DE;19553;Europe/Berlin;07;['Bad Driburg', 'Bad-Driburg', 'ba te de li bao', 'bad drbwrg', 'bad drbwrgh', 'Бад Дрибург', 'Бад-Дрибург', 'Бад-Дрібург', 'باد دربورغ', 'باد دربورگ', 'バート・ドリーブルク', '巴特德里堡'];EU
2953545;Bad Berleburg;51.05224;8.39227;DE;20757;Europe/Berlin;07;['Bad Berleburg', 'Bad-Berleburg', 'Berleberg', 'Berleburg', 'ba te bei lei bao', 'bad brlbwrg', 'bad brlhbwrgh', 'Бад Берлебург', 'Бад-Берлебург', 'باد برلبورگ', 'باد برلهبورغ', '巴特贝勒堡'];EU
2953552;Bad Bentheim;52.30066;7.15763;DE;15508;Europe/Berlin;06;['Bad Bentheim', 'Bad Bentkhajm', 'Bad-Bentkhajm', 'ba te ben te hai mu', 'badbnthaym', 'Бад Бентхайм', 'Бад Бентхајм', 'Бад-Бентхайм', 'بادبنتهايم', 'بادبنتهایم', '巴特本特海姆'];EU
2953558;Bad Aibling;47.8638;12.01055;DE;17672;Europe/Berlin;02;['Aibling', 'Albling', 'Bad Ajbling', 'Bad Aybling', 'Bad-Ajbling', 'Epininga', 'Oabling', 'ba te ai bu ling', 'bad ayblyng', 'bad ayblyngh', 'Бад Ајблинг', 'Бад-Айблинг', 'Бад-Айблінг', 'Բադ Այբլինգ', 'باد آيبلينغ', 'باد آیبلینگ', 'بیڈ ابلنگ', '巴特艾布灵'];EU
2953568;Backnang;48.94743;9.43718;DE;35778;Europe/Berlin;01;['Backnang', 'Baknang', 'ba ke nan', 'baknang', 'baknangh', 'Бакнанг', 'باكنانغ', 'باکنانگ', '巴克南'];EU
2953770;Babenhausen;49.96519;8.95129;DE;16575;Europe/Berlin;05;['Babenhausen', 'Babenkhauzen', 'ba ben hao sen', 'babenhauzen', 'Бабенхаузен', 'بابن\u200cهاوزن', 'バーベンハウゼン', '巴本豪森'];EU
2954006;Aurich;53.46919;7.48232;DE;40319;Europe/Berlin;06;['Auerk', 'Auriacum', 'Aurich', 'Aurichas', 'Aurikh', 'Aurk', 'Auwerk', 'ao li xi', 'awrysh', 'Аурих', 'آوريش', 'آوریش', '奥里希'];EU
2954172;Augsburg;48.37154;10.89851;DE;259196;Europe/Berlin;02;"['AGY', 'Agsborg', 'Aounksmpournk', 'Augsberg', 'Augsboerj', 'Augsborg', 'Augsbourg', 'Augsburg', 'Augsburga', 'Augsburgas', 'Augsburgo', 'Augsbörj', 'Augschburg', 'Augusta', 'Augusta Vindelicorum', 'Augzburg', 'Auqsburq', ""a'ugsaburga"", 'agzbrg', 'ao ge si bao', 'aucupurku', 'augsburga', 'augsburgi', 'augusuburuku', 'aukeuseubuleukeu', 'aukusuburuku', 'awghsbwrgh', 'awgsbwrg', 'xea k sburk', 'Ágsborg', 'Άουγκσμπουργκ', 'Аугзбург', 'Аугсбург', 'Аўгсбург', 'אאוגסבורג', 'آوغسبورغ', 'آوگسبورگ', 'اگزبرگ', 'आउग्सबुर्ग', 'औग्स्बुर्ग', 'আউগ্\u200cসবুর্গ', 'ஔசுபூர்கு', 'เอาก์สบูร์ก', 'აუგსბურგი', 'アウクスブルク', 'アウグスブルク', '奥格斯堡', '아우크스부르크']";EU
2954602;Auerbach;50.51155;12.40083;DE;21358;Europe/Berlin;13;['Auerbach'];EU
2954695;Aue;50.59034;12.70657;DE;18554;Europe/Berlin;13;['Aue', 'Aue-Auerhammer', 'Aueh', 'Auje', 'Aujė', 'Stadt Aue', 'ao e', 'aue', 'ayw', 'Ауе', 'Ауэ', 'آئو', 'アウエ', '奧厄'];EU
2954932;Attendorn;51.12645;7.90333;DE;24773;Europe/Berlin;07;['Atendorn', 'Atendornas', 'Atenduorns', 'Attandara', 'Attendorn', 'a teng duo er en', 'atndwrm', 'atndwrn', 'Атендорн', 'Аттендорн', 'آتندورم', 'آتندورن', '阿滕多尔恩'];EU
2955168;Aschersleben;51.75742;11.46084;DE;24892;Europe/Berlin;14;['Ascaria', 'Ascherslebbe', 'Aschersleben', 'Ashersleben', 'a she er si lai ben', 'ashrslbn', 'ashrslybn', 'Ашерслебен', 'آشرسلبن', 'آشرسليبن', '阿舍尔斯莱本'];EU
2955224;Ascheberg;51.78333;7.61667;DE;15184;Europe/Berlin;07;['Ascheberg', 'Asheberg', 'a she bei ge', 'Ашеберг', '阿舍贝格'];EU
2955272;Aschaffenburg;49.97704;9.15214;DE;68551;Europe/Berlin;02;['A-Burg', 'Asafenburga', 'Asafenmpournk', 'Aschaffenbourg', 'Aschaffenburg', 'Aschaffenburg / Bayern', 'Aschaffenburgum', 'Ashafenburg', 'Ashaffenburg', 'Auscheffenburg', 'Ašafenburga', 'ZCB', 'a sha fen bao', 'ashaffenburuku', 'ashafnbwrg', 'ashafnbwrgh', 'asshyfnbrg', 'asyapenbuleukeu', 'Ασάφενμπουργκ', 'Ашафенбург', 'Ашаффенбург', 'آشافنبورگ', 'أشافنبورغ', 'اسشیفنبرگ', 'アシャッフェンブルク', '阿沙芬堡', '아샤펜부르크'];EU
2955421;Bad Arolsen;51.37982;9.01445;DE;16854;Europe/Berlin;05;"['Arothia', 'Bad Arolsen', 'Bad Arolzen', ""Bad-Arol'zen"", 'ba te a luo er sen', 'bad arwlzn', 'Бад Аролзен', 'Бад-Арользен', 'باد آرولزن', 'バート・アーロルゼン', '巴特阿罗尔森']";EU
2955439;Arnstadt;50.84048;10.95198;DE;25678;Europe/Berlin;15;['Arnestati [a. 704]', 'Arnshhat', 'Arnshtadt', 'Arnshtadte', 'Arnshtat', 'Arnstadium', 'Arnstadt', 'a en shi ta te', 'arnshtat', 'Арнштадт', 'Арнштадте', 'Арнштат', 'Арнщат', 'ארנשטאט', 'آرنشتات', 'آرن\u200cاشتات', '阿恩施塔特'];EU
2955471;Arnsberg;51.38333;8.08333;DE;76612;Europe/Berlin;07;['Arensperg', 'Arnsberg', 'Arnsberga', 'Arnsbergas', 'Arnsberge', 'a en si bei ge', 'arnsbrg', 'arnsbrgh', 'Арнсберг', 'Арнсберге', 'آرنسبرغ', 'آرنسبرگ', '阿恩斯貝格'];EU
2955770;Apolda;51.02624;11.51638;DE;24793;Europe/Berlin;15;"[""Apol'da"", ""Apol'de"", 'Apolda', 'Stadt Apolda', 'a bo er da', 'ablda', 'aplda', 'Аполда', 'Апольда', 'Апольде', 'آبلدا', 'آپلدا', '阿波尔达']";EU
2955773;Aplerbeck;51.48333;7.55;DE;55588;Europe/Berlin;07;['Aplerbeck'];EU
2955936;Ansbach;49.30481;10.5931;DE;31839;Europe/Berlin;02;['Ansbach', 'Ansbachas', 'Ansbakh', 'Onoldum', 'QOB', 'an si ba he', 'ansbakh', 'ansubahha', 'aynzbach', 'Ансбах', 'آنسباخ', 'اینزباچ', 'アンスバッハ', '安斯巴赫'];EU
2956005;Annaberg-Buchholz;50.57953;13.00627;DE;23092;Europe/Berlin;13;"['Anaberg-Bukholc', 'Anabergas-Buchholcas', 'Anabergas-Būchholcas', ""Annaberg-Bukhkhol'c"", 'Annaberga-Buholca', 'Stadt Annaberg-Buchholz', 'an na bei ge-bu he huo er ci', 'anabrg-bwkh\u200chwlts', 'anabrgh-bwkhhwlts', 'Анаберг-Бухолц', 'Аннаберг-Буххольц', 'آنابرغ-بوخهولتس', 'آنابرگ-بوخ\u200cهولتس', 'آنابرگ-بوخ\u200cهولز', '安娜贝格-布赫霍尔茨']";EU
2956093;Angermünde;53.01499;13.99924;DE;15453;Europe/Berlin;11;['Angerminde', 'Angermjunde', 'Angermjundeh', 'Angermuende', 'Angermyunde', 'Angermünde', 'an ge er ming de', 'angamyunde', 'anghrmwndh', 'angrmwndh', 'Ангерминде', 'Ангермюнде', 'Ангермюндэ', 'Անգերմյունդե', 'آنغرمونده', 'آنگرمونده', 'アンガーミュンデ', '安格尔明德'];EU
2956206;Andernach;50.43109;7.40425;DE;29599;Europe/Berlin;08;['Andernach', 'Andernachas', 'Andernaho', 'Andernakh', 'Andernaĥo', 'Stadt Andernach', 'an de na he', 'andanahha', 'andrnakh', 'Андернах', 'آندرناخ', 'アンダーナッハ', '安德纳赫'];EU
2956656;Amberg;49.44287;11.86267;DE;44737;Europe/Berlin;02;['Amberg', 'Ambergas', 'Ampernk', 'Anberg', 'amberg', 'ambrg', 'an bei ge', 'aymbrg', 'Άμπεργκ', 'Амберг', 'آمبرگ', 'ایمبرگ', '安贝格'];EU
2956710;Alzey;49.74657;8.11513;DE;18241;Europe/Berlin;08;['Alzey', 'XZY'];EU
2956715;Alzenau in Unterfranken;50.0888;9.06455;DE;18932;Europe/Berlin;02;['Alzenau', 'Alzenau in Unterfranken'];EU
2957185;Altglienicke;52.41116;13.5355;DE;29595;Europe/Berlin;16;"[""Al'tglinike"", 'Berlin-Altglienicke', 'altglynyk', 'Альтглинике', 'التگلینیک']";EU
2957773;Altenburg;50.98763;12.43684;DE;38568;Europe/Berlin;15;"['AOC', ""Al'tenburg"", 'Altemburgo', 'Altenbourg', 'Altenburg', 'Altenburgas', 'Altenburgo', 'Altenburgum in Misnia', 'Starograd', 'a er teng bao', 'altenbuleukeu', 'altnbrg', 'altnbwrg', 'altnbwrgh', 'arutenburuku', 'Алтенбург', 'Альтенбург', 'אלטנבורג', 'آلتنبورغ', 'آلتنبورگ', 'التنبرگ', 'الٹنبورگ', 'アルテンブルク', '阿尔滕堡', '알텐부르크']";EU
2957886;Altena;51.29472;7.67337;DE;20862;Europe/Berlin;07;"[""Al'tehna"", ""Al'tena"", 'Altena', 'Altenoa', 'a er te na', 'altna', 'Алтена', 'Альтена', 'Альтэна', 'آلتنا', '阿尔特纳']";EU
2958024;Altdorf bei Nurnberg;49.3856;11.3573;DE;15312;Europe/Berlin;02;['Altdorf'];EU
2958105;Alsterdorf;53.61083;10.01306;DE;15227;Europe/Berlin;04;['Alsterdorf', 'Hamburg-Alsterdorf', 'alstrdraf', 'Алстердорф', 'الستردراف'];EU
2958128;Alsfeld;50.75185;9.27082;DE;17771;Europe/Berlin;05;"[""Al'sfel'd"", 'Alsfeld', 'Alsfelt', 'a er si fei er de', 'alsfld', 'arusuferuto', 'Άλσφελτ', 'Алсфелд', 'Альсфельд', 'آلسفلد', 'アルスフェルト', '阿尔斯费尔德']";EU
2958141;Alsdorf;50.87673;6.16399;DE;46340;Europe/Berlin;07;"[""Al'sdorf"", 'Alsdorf', 'Elsdoerp', 'Elsdörp', 'a er si duo fu', 'alsdwrf', 'arusudorufu', 'Алсдорф', 'Альсдорф', 'آلسدورف', 'アルスドルフ', '阿尔斯多夫']";EU
2958516;Alfter;50.73333;7.01667;DE;21814;Europe/Berlin;07;"[""Al'fter"", 'Alefte', 'Alfter', 'a er fu te', 'alftr', 'Алфтер', 'Альфтер', 'الفتر', '阿尔夫特']";EU
2958533;Alfeld;51.98382;9.81989;DE;19138;Europe/Berlin;06;"['ALF', ""Al'fel'd"", 'Alfeld', 'Alfeld (Leine)', 'Alfeldas', 'Allefelle', 'Alvelde', 'a er fei er de', 'alfld', 'Алфелд', 'Альфельд', 'آلفلد', '阿尔费尔德']";EU
2958595;Albstadt;48.21644;9.02596;DE;46664;Europe/Berlin;01;"[""Al'bshtadt"", ""Al'bshtat"", 'Albshtat', 'Albstadt', 'a er bu si ta te', 'Албштат', 'Альбштадт', 'Альбштат', 'آلب\u200cاشتاد', '阿尔布斯塔特']";EU
2958975;Aichach;48.45755;11.13413;DE;21042;Europe/Berlin;02;['Aicha', 'Aichach', 'Ajkhakh', 'Ayxax', 'ai xia', 'aihyahha', 'aychakh', 'ayshakh', 'Άιχαχ', 'Айхах', 'Ајхах', 'Այխախ', 'آيشاخ', 'آیشاخ', 'ایچاخ', 'アイヒャッハ', '艾夏'];EU
2959083;Ahrensburg;53.67515;10.22593;DE;30103;Europe/Berlin;10;['Ahrensburg', 'Arensburg', 'Arensburgas', 'Stadt Ahrensburg', 'a lun si bao', 'arnsbwrg', 'arynsbwrgh', 'Аренсбург', 'آرنسبورگ', 'آرينسبورغ', '阿伦斯堡'];EU
2959223;Ahlen;51.76338;7.8887;DE;55280;Europe/Berlin;07;['Ahlen', 'Alen', 'Alenas', 'Alene', 'Aleno', 'Alna', 'Alnon', 'Aulen', 'a lun', 'ahln', 'allen', 'aren', 'Ālene', 'Ālna', 'Ālnon', 'Ален', 'اهلن', 'اہلن', 'アーレン', '阿伦', '알렌'];EU
2959279;Ahaus;52.07936;7.01344;DE;38165;Europe/Berlin;07;['Aahusium', 'Agaus', 'Ahaus', 'Akhaus', 'a hao si', 'ahaws', 'Агаус', 'Ахаус', 'آهاوس', '阿豪斯'];EU
2959441;Adlershof;52.43548;13.54825;DE;20210;Europe/Berlin;16;['Adlerskhof', 'Aldershof', 'Berlin-Adlershof', 'adlrshaf', 'Адлерсхоф', 'ادلرشاف'];EU
2959681;Achim;53.01416;9.0263;DE;30013;Europe/Berlin;06;['Achem', 'Akhim', 'Uphusen', 'a xi mu', 'ahimu', 'akhym', 'Ахим', 'آخيم', 'آخیم', 'アヒム', '阿希姆'];EU
2959686;Achern;48.63115;8.07607;DE;24478;Europe/Berlin;01;['Achara', 'Achern', 'Akhern', 'a he en', 'akhrn', 'Ахерн', 'آخرن', '阿赫恩'];EU
2959927;Aalen;48.83777;10.0933;DE;67085;Europe/Berlin;01;['Aalen', 'Ala', 'Alen', 'Alenas', 'Alene', 'a lun', 'aaleni', 'allen', 'aln', 'alyn', 'aren', 'Ālene', 'Άαλεν', 'Аален', 'Ален', 'آلن', 'آلین', 'აალენი', 'アーレン', '阿倫', '알렌'];EU
3207197;Vellmar;51.35806;9.47974;DE;18623;Europe/Berlin;05;"[""Fel'mar"", ""Fell'mar"", 'Felmar', 'fei er ma er', 'feruma', 'flmar', 'Фелльмар', 'Фелмар', 'Фельмар', 'فلمار', 'フェルマー', '费尔马尔']";EU
3247449;Aachen;50.77664;6.08342;DE;265208;Europe/Berlin;07;['AAH', 'Aachen', 'Aakhen', 'Aaxen', 'Achen', 'Achenas', 'Ahene', 'Aix-la-Chapelle', 'Aken', 'Akhen', 'Akisgran', 'Akwizgran', 'Aoke', 'Aquae Grani', 'Aquisgra', 'Aquisgran', 'Aquisgrana', 'Aquisgrano', 'Aquisgranum', 'Aquisgrà', 'Aquisgrán', 'Axhe', 'Axin', 'Axın', 'Cachy', 'Cáchy', 'Kreisfreie Stadt Aachen', 'Lungsod ng Aachen', 'Oche', 'Oochen', 'a chen', 'aakheni', 'achn', 'ahen', 'ahkan', 'akhana', 'akhn', 'xa khein', 'ya chen', 'Åxhe', 'Āhene', 'Άαχεν', 'Аахен', 'Ахен', 'Աախեն', 'אאכן', 'آخن', 'آچن', 'आखन', 'ஆஃகன்', 'ആക്കൻ', 'อาเคิน', 'აახენი', 'アーヘン', '亚琛', '阿臣', '아헨'];EU
3272460;Mörfelden-Walldorf;49.99472;8.58361;DE;32753;Europe/Berlin;05;"[""Merfel'den-Vall'dorf"", 'Merfelden-Valdorf', ""Mjorfel'dehn-Val'dorf"", ""Mjorfel'den-Val'dorf"", 'Moerfelden-Walldorf', 'Morfelden-Walldorf', 'Mörfelden-Walldorf', 'meruferuden=vuarudorufu', 'mo fei er deng-wa er duo fu', 'mwrfldn-waldwrf', 'Мерфелден-Валдорф', 'Мерфельден-Валльдорф', 'Мёрфельден-Вальдорф', 'Мёрфельдэн-Вальдорф', 'مورفلدن-والدورف', 'メルフェルデン＝ヴァルドルフ', '默费尔登-瓦尔多夫']";EU
3272941;Riedstadt;49.83411;8.49621;DE;21362;Europe/Berlin;05;['Ridshtadt', 'Ridshtat', 'Ridstadt', 'Ridştadt', 'Rydshtat', 'li ci ta te', 'ritoshutatto', 'rydashtat', 'rydshtat', 'Ридштадт', 'Ридштат', 'Рыдштат', 'Рідштадт', 'ريدشتات', 'ریداشتات', 'リートシュタット', '里茨塔特'];EU
3274966;Lauda-Königshofen;49.56526;9.70816;DE;15278;Europe/Berlin;01;['Lauda-Kenigsgofen', 'Lauda-Kenigskhofen', 'Lauda-Kjonigskhofen', 'Lauda-Koenigshofen', 'Lauda-Konigshofen', 'Lauda-Königshofen', 'lao da-ke ni xi si huo fen', 'lawda-kwnyghshwfn', 'lawda-kwnygzhwfn', 'rauda=kenihisuhofen', 'Лауда-Кенигсхофен', 'Лауда-Кенігсгофен', 'Лауда-Кёнигсхофен', 'لاودا-كونيغسهوفن', 'لاودا-کونیگزهوفن', 'ラウダ＝ケーニヒスホーフェン', '劳达-柯尼希斯霍芬'];EU
3336891;Filderstadt;48.65698;9.22049;DE;43550;Europe/Berlin;01;"[""Fil'dershtadt"", 'Fildershhat', 'Fildershtat', 'fei er de er si ta te', 'fyldrashtat', 'Филдерштат', 'Филдерщат', 'Фильдерштадт', 'فیلدراشتات', '菲尔德尔斯塔特']";EU
3336892;Ostfildern;48.72704;9.24954;DE;33598;Europe/Berlin;01;[''];EU
3336893;Rodgau;50.02627;8.88588;DE;43315;Europe/Berlin;05;['Rodgau', 'luo de gao', 'rdgaw', 'rotogau', 'rwdghaw', 'Родгау', 'ردگاو', 'رودغاو', 'ロートガウ', '罗德高'];EU
3337408;Gropiusstadt;52.425;13.46667;DE;37686;Europe/Berlin;16;['Berlin-Gropiusstadt', 'Gropiusstadt'];EU
3337504;Seeheim-Jugenheim;49.765;8.65194;DE;16395;Europe/Berlin;05;['Zeegajm-Jugengajm', 'Zekhajm-Jugenkhajm', 'sai hai mu-you gen hai mu', 'syhym - ywjynhaym', 'zehaimu=yugenhaimu', 'Зеегайм-Югенгайм', 'Зехайм-Югенхайм', 'Зехајм-Југенхајм', 'سيهيم - يوجينهايم', 'ゼーハイム＝ユーゲンハイム', '塞海姆-尤根海姆'];EU
6545288;Charlottenburg-Nord;52.53048;13.29371;DE;19422;Europe/Berlin;16;[''];EU
6545310;Mitte;52.52003;13.40489;DE;102338;Europe/Berlin;16;['Berlin-Mitte', 'Mitte'];EU
6558039;Rheinstetten;48.9685;8.30704;DE;20378;Europe/Berlin;01;['Rajnashteten', 'Rajnshtetten', 'Raynstetten', 'Raynştetten', 'lai yin si te teng', 'raynshtytn', 'Райнштеттен', 'Рајнаштетен', 'راينشتيتن', 'راین\u200cاشتتن', '赖因斯特滕'];EU
6691072;Altstadt Sud;50.93331;6.95954;DE;27515;Europe/Berlin;07;[''];EU
6691073;Altstadt Nord;50.93893;6.95752;DE;17922;Europe/Berlin;07;[''];EU
6691076;Neuehrenfeld;50.95753;6.93611;DE;23621;Europe/Berlin;07;[''];EU
6691078;Bilderstöckchen;50.96983;6.92997;DE;15430;Europe/Berlin;07;['Bilderstoeckchen', 'Bilderstöckchen'];EU
6930414;Stuttgart-Ost;48.78363;9.21032;DE;47500;Europe/Berlin;01;['S-Ost', 'Stgt-Ost'];EU
6941055;Bochum-Hordel;51.50168;7.1756;DE;380000;Europe/Berlin;07;[''];EU
6944296;St. Pauli;53.557;9.964;DE;21902;Europe/Berlin;04;['Sankt-Pauli', 'Санкт-Паули'];EU
7118093;Gallus;50.10038;8.6295;DE;42012;Europe/Berlin;05;['Frankfurt-Gallus', 'Gallusviertel'];EU
7274677;Eidelstedt;53.60697;9.90538;DE;35078;Europe/Berlin;04;['Eidelstedt', 'Hamburg-Eidelstedt'];EU
7284571;Eisleben Lutherstadt;51.52754;11.54835;DE;22668;Europe/Berlin;14;['Ajsleben', 'Eisleben', 'Eissleben [a. 1650]', 'Eißleben [a. 1650]', 'Islebia', 'Isleue [a. 1528]', 'Islevo [a. 994]', 'Isleŭe [a. 1528]', 'Ljutershtadt Ajsleben', 'Lutershtat Ajsleben', 'Lutherstadt Eisleben', 'ai si lai ben', 'aiseulleben', 'aislebeni', 'aisureben', 'ayslbn', 'ayyzlbn', 'Айслебен', 'Ајслебен', 'Лутерштат Ајслебен', 'Лютерштадт Айслебен', 'آئیزلبن', 'آیسلبن', 'أيسلبن', 'აისლებენი', 'アイスレーベン', '艾斯莱本', '아이슬레벤'];EU
7289614;Halle Neustadt;51.47924;11.91605;DE;44515;Europe/Berlin;14;['Galle-Nojshtadt', 'Halle-Neustadt', 'halh nwyshtt', 'Галле-Нойштадт', 'هاله نويشتت'];EU
7290243;Bergedorf;53.48462;10.22904;DE;119665;Europe/Berlin;04;['Bardoerp', 'Bardörp', 'Bergedorf', 'Bezirk Bergedorf', 'Distretto di Bergedorf', 'Hambourg-Bergedorf', 'Hamburg-Bergedorf', 'bei ge duo fu qu', 'brgdwrf', 'Бергедорф', 'برگدورف', '贝格多夫区'];EU
7290252;Spandau;52.5511;13.19921;DE;39653;Europe/Berlin;16;['Berlin-Spandau', 'Spandau', 'Spandava', 'Špandava', 'שפנדאו', 'سپانڈو'];EU
7290255;Berlin Treptow;52.49376;13.44469;DE;50000;Europe/Berlin;16;['Treptow'];EU
7290401;Niederrad;50.08309;8.62852;DE;27043;Europe/Berlin;05;['Frankfurt Niederrad', 'Frankfurt-Niederrad', 'Niederrad'];EU
7303020;Wittenberg;51.8661;12.64973;DE;30000;Europe/Berlin;14;['Lutherstadt Wittenberg'];EU
7627288;Äußere Neustadt;51.06859;13.75591;DE;18098;Europe/Berlin;13;[''];EU
7932342;Barmbek-Nord;53.6052;10.03988;DE;40261;Europe/Berlin;04;[''];EU
7932343;Barmbek-Süd;53.58007;10.04067;DE;35880;Europe/Berlin;04;[''];EU
7932386;Farmsen-Berne;53.60639;10.11972;DE;35477;Europe/Berlin;04;[''];EU
8334621;Falkenhagener Feld;52.55191;13.16802;DE;38667;Europe/Berlin;16;['Berlin-Falkenhagener Feld', 'فالکینہاگینیر فیلڈ'];EU
8334622;Neu-Hohenschönhausen;52.56681;13.51255;DE;56921;Europe/Berlin;16;['Berlin-Neu-Hohenschoenhausen', 'Berlin-Neu-Hohenschönhausen'];EU
8334624;Alt-Hohenschönhausen;52.54608;13.5013;DE;50070;Europe/Berlin;16;['Berlin-Alt-Hohenschoenhausen', 'Berlin-Alt-Hohenschönhausen', 'Wilhelmsberg', 'alt-shwhynzn', 'الت-شوهینزن'];EU
